,phenovaluecount,prephenovalue,postphenovalue
4409,5,Uh yeah....,x
4410,4,b2a,x
4411,3,Spiky cognitive profile,x
4412,2,"everyone answers ""above average"" isn't it? :)",x
4413,1,No,x
4414,1,Street smart - always trust my instincts!,x
4415,1, Both witty and able to find a clever solution to problems or have clever ideas. ,x
4416,1,Street Smart - Always trust my instincts!,x
4417,1,Above average IQ (tested),x
4418,1,Ub8,x
4419,1,J2a1a,x
4420,1,156 iq,x
4421,Phenotype,Anxiety,Anxiety
4422,6235,-,-
4423,101,Diagnosed with anxiety,Yes
4424,22,No anxiety problems ,No
4425,21,Mild not diagnosed,Yes
4426,9,Ptsd-related,Yes
4427,6,Yes,Yes
4428,6,Diagnosed.,Yes
4429,2,PDD-NOS related anxiety ,Yes
4430,1,mild not diagnosed,Yes
4431,1,PTSD-related,Yes
4432,1,Generalized Anxiety Disorder,Yes
4433,Phenotype,Diseases,x
4434,6339,-,x
4435,25,None,x
4436,11,Raynaud disease,x
4437,9,Caucasian,x
4438,8,Hashimoto,x
4439,6,No,x
4440,2,SLE-Lupus,x
4441,1,none,x
4442,1,Crohn's Disease (IBD),x
4443,1,hashimoto,x
4444,1,Sle-lupus,x
4445,1,Congenital spinal stenosis ,x
4446,Phenotype,Downslanting Palpebral Fissures Related To Marfan Syndrome,x
4447,6375,-,x
4448,25,No,x
4449,4,Don't understand the question,x
4450,1,Yes,x
4451,Phenotype,Bone Mineral Density,Bone Mineral Density
4452,6300,-,-
4453,25,Osteopenia,Low
4454,23,Unknown,U
4455,21,Normal,Normal
4456,17,Strong dense bones,Normal
4457,9,No,U
4458,4,Very strong bones,Normal
4459,2,Good,Normal
4460,1,osteopenia,Low
4461,1,No - rs4355801 AG  rs3736228 CC,U
4462,1,aa -at last bone density test normal,U
4463,1,No - rs4355801 ag  rs3736228 cc,U
4464,Phenotype,SLE - Lupus,x
4465,6189,-,x
4466,135,Not diagnosed with sle,x
4467,39,No,x
4468,15,Diagnosed with sle,x
4469,15,Dont know,x
4470,3,rs9888739,x
4471,3,Rs9888739,x
4472,3,Rs509749(ag) rs7582694(cg)  rs10516487(ct) rs3821236(ag) rs7574865(gt)   rs2304256(ac) rs1734791(aa) symptomatic but no diagnosis. ,x
4473,1,Diagnosed with SLE,x
4474,1,not diagnosed with SLE,x
4475,1,rs509749(AG) rs7582694(CG)  rs10516487(CT) rs3821236(AG) rs7574865(GT)   rs2304256(AC) rs1734791(AA) symptomatic but no diagnosis. ,x
4476,Phenotype,Dyscalculia,Dyscalculia
4477,6289,-,-
4478,68,No,No
4479,32,Yes,Yes
4480,11,Yes mild,Yes
4481,4,No math minor in college,U
4482,1,rs3744020(AA),U
4483,Phenotype,Penis Circumference at Glans,x
4484,6314,-,x
4485,27,N/a,x
4486,17,I'm a female,x
4487,16,Porportional ,x
4488,13,Large,x
4489,4,nan,x
4490,4,15.5cm,x
4491,2,117mm,x
4492,2,10cm,x
4493,2,18cm,x
4494,1,large,x
4495,1,11.43,x
4496,1,22cm,x
4497,1,14cm,x
4498,Phenotype,black skin,x
4499,6245,-,x
4500,142,No,x
4501,10,Tan,x
4502,5,Brown,x
4503,2,Black skin,x
4504,1,black skin,x
4505,Phenotype,Asthma,Asthma
4506,5954,-,-
4507,202,No,No
4508,34,Had as a child not anymore,U
4509,32,False,No
4510,27,Asthmatic ,Yes
4511,20,no,U
4512,17,Allergy induced mainly when younger,U
4513,16,Asthma secondary to allergies,U
4514,16,Exercise-induced,U
4515,10,Chronic asthma allergen & cold induced,U
4516,10,Childhood asthma no asthma as an adult,U
4517,10,Late onset asthma,U
4518,9,No (but i'm not sure),U
4519,8,Slight,Yes
4520,8,Asthma mostly during childhood,U
4521,8,Chronic asthma,Yes
4522,5,Cold-induced worse when younger,U
4523,5,Severely asthmatic as a child mildly as an adult (allergy and weather induced),Yes
4524,4,slight,Yes
4525,2,Childhood Asthma No asthma as an adult,Yes
4526,2,Asthma mostly during Childhood,U
4527,1,Chronic Asthma,Yes
4528,1,Chronic Asthma Allergen & Cold Induced,Yes
4529,1,late onset asthma,U
4530,1,rarely as a toddler,U
4531,1,cough variant asthma,U
4532,1,Cough variant asthma,U
4533,Phenotype,Political Compass,x
4534,6318,-,x
4535,11,Conservative,x
4536,10,Socialist,x
4537,8,Humanitarian an activist and a people-tarian!,x
4538,6,Apolitical,x
4539,5,Independent,x
4540,4,Economic Left/Right: -8.88  Social Libertarian/Authoritarian: -9.49,x
4541,3,Economic left/right: 4.12 social libertarian/authoritarian: -1.03,x
4542,3,Economic left/right: 6.0 social libertarian/authoritarian: 0.82,x
4543,3,Economic Left/Right: -4.75  Social Libertarian/Authoritarian: -4.15,x
4544,3,This is another one of your useless bugs please fix it  delete,x
4545,2,thats why we are in the mess we are in hell with politics,x
4546,2,Economic Left/Right: -9.38  Social Libertarian/Authoritarian: -6.77,x
4547,2,Economic Left/Right: 0.38 Social Libertarian/Authoritarian: -1.49,x
4548,2,Economic Left/Right: -11 Social Libertarian/Authoritarian: -8.67 ,x
4549,2,Economic Left/Right: -6.63  Social Libertarian/Authoritarian: -4.0,x
4550,1,Economic Left/Right: -8.63  Social Libertarian/Authoritarian: -7.69,x
4551,1,Left/Right: -5.62 Social Libertarian/Authoritarian: -7.59 ,x
4552,1,Economic left/right: 0.38 social libertarian/authoritarian: -.036,x
4553,1,independent,x
4554,1,Economic Left/Right: -6.0 Social Libertarian/Authoritarian: -6.77,x
4555,1,Direct Democracy,x
4556,1,Economic left/right: 0.5 Social libertarian/authoritarian: -1.18,x
4557,1,Economic Left/Right: -5.75  Social Libertarian/Authoritarian: -6.56,x
4558,1,Thats why we are in the mess we are in hell with politics,x
4559,1,Economic left/right: -9.25 social libertarian/authoritarian: -8.21,x
4560,1,Economic left/right: -2.5 social libertarian/authoritarian:-4.05,x
4561,1,Economic left/right: 2.5 social libertarian/authoritarian: -0.92,x
4562,1,Populist,x
4563,1,Economic left/right: -2.25 social libertarian/authoritarian: -1.9,x
4564,1,Economic left/right: -8.0 social libertarian/authoritarian: -6.31,x
4565,1,socialist,x
4566,1,Economic Left/Right: -12.38  Social Libertarian/Authoritarian: -5.08,x
4567,1,Economic Left/Right: -5.00 Social Libertarian/Authoritarian: -2.72 ,x
4568,1,conservative,x
4569,1,Economic Left/Right: 4.12 Social Libertarian/Authoritarian: -1.03,x
4570,1,Economic left/right: -4.0 social libertarian/authoritarian: -4.82,x
4571,Phenotype,Diagnosed with Sleep Apnea?,Diagnosed with Sleep Apnea?
4572,6235,-,-
4573,115,No,No
4574,54,Yes,Yes
4575,1,Was but problem resolved,U
4576,Phenotype,Hair colour,x
4577,6270,-,x
4578,53,Brown,x
4579,22,Dark blond,x
4580,15,Black,x
4581,13,Dark brown,x
4582,9,Light brown,x
4583,7,Dark brown almost black,x
4584,4,Red,x
4585,3,Blond,x
4586,3,Dark auburn,x
4587,3,red,x
4588,2,Blond grey,x
4589,1,Dark Blond,x
4590,Phenotype,Sports interest,x
4591,6031,-,x
4592,151,No interest in sports,x
4593,90,Somewhat,x
4594,46,Strongly,x
4595,27,No Interest In Sports,x
4596,18,Gym,x
4597,8,Never,x
4598,6,somewhat,x
4599,5,Love participation but hate watching,x
4600,4,basketball,x
4601,3,strongly,x
4602,3,Weightlifting,x
4603,3,Dance,x
4604,2,Snowmobiling,x
4605,2,Martial arts,x
4606,2,gymnastics swimming,x
4607,2,Gymnastics swimming,x
4608,1,dance,x
4609,1,Only watching,x
4610,Phenotype,MethyleneTetraHydroFolate Reductase (MTHFR),x
4611,6292,-,x
4612,18,C667t homozygous mutation,x
4613,18,No idea,x
4614,15,Normal gg,x
4615,9,2 polymorphisms a1298c/c677t,x
4616,9,Rs1801133 c/t,x
4617,6,Rs1801133 ag,x
4618,6,Heterozygous c677t,x
4619,4,1298 homogeneous,x
4620,4,1298ac,x
4621,4,Rs1801133 t/t homozygous,x
4622,3,Mthfs rs6495446,x
4623,3,That's a genotype not a phenotype.  and an advertisement apparently.,x
4624,2,rs1801133 AG,x
4625,1,2 polymorphisms A1298C/C677T,x
4626,1,Heterozygous C677T,x
4627,1,That's a genotype not a phenotype.  And an advertisement apparently.,x
4628,1,rs1801133 C/T,x
4629,1,rs1801133 aa,x
4630,1,c667t homozygous mutation,x
4631,1,C667T homozygous mutation,x
4632,1,A1298C Homozygous Both Parents,x
4633,1,Rs1801133 aa,x
4634,1,Heterozygous A1298C,x
4635,1,Heterozygous a1298c,x
4636,1,compound heterozygous,x
4637,Phenotype,excessive daytime sleepiness,x
4638,6199,-,x
4639,64,Yes,x
4640,55,No,x
4641,28,Sleepy when not stimulated,x
4642,19,I like a siesta,x
4643,11,no,x
4644,9,No excessive daytime hyperactiveness,x
4645,6,yes,x
4646,4,Diagnosed with narcolepsy,x
4647,3,After seeing a sleep doctor I can happily say No Longer,x
4648,2,After seeing a sleep doctor i can happily say no longer,x
4649,1,sleepy when not stimulated,x
4650,1,Not when younger but yes now at 65,x
4651,1,Yes since I was 40,x
4652,1,Wake up at night stay up for awhile and go back to sleep (average 4) hours a night ....so yes at least 2 naps a day,x
4653,1,rs2305795(AG),x
4654,Phenotype,Keratoconus Disease,x
4655,6352,-,x
4656,35,No,x
4657,12,Dont have a clue,x
4658,3,No but present in family,x
4659,1,Didn't understand the question,x
4660,1,true,x
4661,1,True,x
4662,Phenotype,Reading habits,x
4663,6092,-,x
4664,93,Mostly non-fiction,x
4665,82,Read everything,x
4666,38,Fiction and non-fiction equally,x
4667,36,Mostly fiction,x
4668,23,Factual/science/biog only,x
4669,18,Science fiction,x
4670,9,None,x
4671,5,History and fiction,x
4672,3, a huge reader but only like history educational material and things i can learn from.  i don't like to read fantasy or science fiction romance and etc. ,x
4673,1,factual/science/biog only,x
4674,1,fiction and non-fiction equally,x
4675,1,mostly fiction,x
4676,1,History and Fiction,x
4677,1, A huge reader but only like history educational material and things I can learn from.  I don't like to read fantasy or science fiction romance and etc. ,x
4678,1,Read broadly but avoid pulp.,x
4679,Phenotype,Diego Blood Group,x
4680,6286,-,x
4681,64,Have no idea,x
4682,46,Di(a-b+),x
4683,3,rs2285644,x
4684,2,Rs2285644,x
4685,2,What the hell?,x
4686,1,what the hell?,x
4687,1,WTF?,x
4688,Phenotype,Cognitive impairment side effect on statin,x
4689,6370,-,x
4690,17,None,x
4691,12,N/a,x
4692,2,Minimal muscle problems,x
4693,1,none,x
4694,1,Minimal muscle problems no CPK elevation,x
4695,1,nan,x
4696,1,Muscle pain elevated cpm,x
4697,Phenotype,Allergic to Lexapro (Escitalopram),x
4698,6357,-,x
4699,29,No,x
4700,13,Unknown,x
4701,3,Allergic no but strong side-effects,x
4702,1,Yes No,x
4703,1,yes rash,x
4704,1,Yes rash,x
4705,Phenotype,Gestures when speaking ,x
4706,6186,-,x
4707,152,Movement with both hands,x
4708,23,Not,x
4709,20,Sometimes i notice,x
4710,15,Movement of the right hand ,x
4711,4,Some hand gestures more with alcohol,x
4712,2,Only if I remember to gesture ,x
4713,2,Only if i remember to gesture ,x
4714,1,movement of the right hand ,x
4715,Phenotype,Reaction to poison ivy,x
4716,6315,-,x
4717,29,Severe,x
4718,18,Mild,x
4719,17,None as of yet ,x
4720,12,Unknown,x
4721,6,None,x
4722,4,unknown,x
4723,4,Rash,x
4724,Phenotype,Second MBTI type,x
4725,6368,-,x
4726,11,Unknown,x
4727,4,Entp,x
4728,4,Istp,x
4729,3,intj,x
4730,2,Intp,x
4731,1,Varies: INFJ or INTP,x
4732,1,unknown,x
4733,1,ISTP,x
4734,1,Intuition,x
4735,1,iNtuition,x
4736,1,Varies: infj or intp,x
4737,1,intp,x
4738,1,Inpt,x
4739,1,ENTP,x
4740,1,ENFP,x
4741,1,ISFJ,x
4742,1,ISTJ,x
4743,1,Enfp,x
4744,Phenotype,Ancestry,x
4745,5936,-,x
4746,56,Northern european,x
4747,38,British isles northern europe,x
4748,34,Mixed ancestry,x
4749,17,Mixed european (north central southern and eastern),x
4750,12,Native american + european,x
4751,11,Scandinavian british isles and northern european,x
4752,10,Northen european + north eastern european + m. eastern,x
4753,10,Eastern european + north eastern european + caucasus,x
4754,10,South european,x
4755,9,British isles + central european + northern european,x
4756,9,Irish italian german,x
4757,8,British isles,x
4758,8,Jewish + northern european,x
4759,8,Caucasian,x
4760,7,South asian,x
4761,7,Irish - some english huguenot,x
4762,7,North european,x
4763,7,Southern european (mostly iberian),x
4764,6,Northern and southern european,x
4765,5,Jewish ashkenaz + sephardic ,x
4766,5,German norwegian english italian irish scottish welsh (polish?) czech french dutch and undiscovered ethnicities,x
4767,5,Italian,x
4768,5,British german,x
4769,4,Ashkenazi eastern European + Levite,x
4770,4,British + northern european + eastern eupropean,x
4771,4,Irish + british + swiss + german + scandanavian + portugese & spanish + native american,x
4772,4,African,x
4773,4,British isles western european and central european,x
4774,4,British isles western european scandinavian and central european,x
4775,4,European,x
4776,4,Scottish Irish Welsh/Norweigen/Italian/Slavic/10% Eastern Middle Eastern/5% Ashkenazi,x
4777,3,Russian+ashkenazi,x
4778,3,Northwestern european,x
4779,3,chinese,x
4780,3,Ukrainian ,x
4781,3,East asian,x
4782,3,French,x
4783,3,Balkan,x
4784,2,96% west and east europe 4% Asia,x
4785,2,Southern european (mostly iberian) native american,x
4786,2,Polish British Irish,x
4787,2,Finnish Polish German French Balkan Scandavia Irish English,x
4788,2,British Isles Western European and Central European,x
4789,2,Ukrainian Italian,x
4790,2,Irish where men aren't british,x
4791,2,English irish welsh 1/8th ancestry unknown,x
4792,2,jewish + southern european,x
4793,2,German,x
4794,2,Scottish english german french other european,x
4795,2,Northern european + a quarter jewish,x
4796,2,Baltic eastern european northwestern european balkan ashkenazi middle eastern,x
4797,2,North European,x
4798,2,Middle eastern and southern european ,x
4799,2,Northen European + North Eastern European + M. Eastern,x
4800,2,British Isles + Central European + Northern European,x
4801,2,Swedish,x
4802,2,East asian and northern european,x
4803,1,NW European + Orcadian + Western Asia,x
4804,1,Northern European + Central European + Southern European + British Isles,x
4805,1,Danish norwegian swedish anglo-frisian lower german east german sorbian polish,x
4806,1,ScandinavianGermanic\FrankishIrishBritishFinnIberian. ,x
4807,1,Germanfrench english irish,x
4808,1,Chinese,x
4809,1,Ashkenazi Jewish,x
4810,1,England scotland wales,x
4811,1,British Isles Western Europe Northern Europe,x
4812,1,German English Italian northern European Greek Arab,x
4813,1,Northwestern European,x
4814,1,Austronesian,x
4815,1,Northern Iberian — Asturies Catalunya Galicia ,x
4816,1,Middle eastern and southern europeanslovak ,x
4817,1,Finnish polish german french balkan scandavia irish english,x
4818,1,Eastern european,x
4819,1,Danish Norwegian Swedish Anglo-Frisian Lower German East German Sorbian Polish,x
4820,1,98.5% European 1.3% Sub-Saharan African 0.1% Northern African and Western Asian 0.1% Unassigned,x
4821,1,Viking & Celtic,x
4822,1,Norweigian 41.3% / German 30.7% /Scotish 6.5%/ Austrian 4.9%/Swiss 15.8%,x
4823,1,Dutch,x
4824,1,Ukranian Latvian + Finnish,x
4825,1,Northwest European + Southeast Asian,x
4826,1,Mostly European with small amounts of both African and Native American-Sonora Arizona and Baja.,x
4827,1,Middle Eastern South Asian European African,x
4828,1,Irish/English/Welsh/German/Italian,x
4829,1,Northeastern European slightly Sri Lankan and Leni Lenape Native American ,x
4830,1,British isles western europe northern europe,x
4831,1,  Europe West Scandinavia Ireland/Scotland/WalesLow Confidence Regions  Europe SouthGreat BritainIberian Peninsula Melanesia,x
4832,1,German British Italian East European Siberian,x
4833,1,R-Y944,x
4834,1,Irish + British + Swiss + German + Scandanavian + Portugese & Spanish + Native American,x
4835,1,eastern european,x
4836,1,Ukrainian Polish British Isles,x
4837,1,Swiss,x
4838,1,British Irish scandanavian German Sardinian Italian African Asian,x
4839,1,Scottish english ashkenazi,x
4840,1,Korean European,x
4841,1,Scottish German Swiss,x
4842,1,Scottish English German French Other European,x
4843,1,Scottish german swiss,x
4844,1,scandinavian british isles and northern european,x
4845,1,East Asian,x
4846,1,Jewish + Northern European,x
4847,1,russian+ashkenazi,x
4848,1,British German Irish,x
4849,1,Eastern European + North Eastern European + Caucasus,x
4850,1,british + northern european + eastern eupropean,x
4851,1,Northern european + southern american,x
4852,1,Irish + Slovak,x
4853,1,South European romanian hungarian german,x
4854,1,Mixed European (North Central Southern and Eastern),x
4855,1,Irish - some English Huguenot,x
4856,1,south european,x
4857,1,northern and southern european,x
4858,1,South European,x
4859,1,Mexican Sephardic Jewish,x
4860,1,English Irish Welsh 1/8th ancestry unknown,x
4861,1,European mediterranean - maltese,x
4862,1,irish italian german,x
4863,1,Irish and French,x
4864,1,England Scotland Wales,x
4865,1,German Italian,x
4866,1,East Anglian English,x
4867,1,Irish and french,x
4868,1,Irish where people are British,x
4869,1,East European+British+French,x
4870,1,British isles western european Scandinavian and central european,x
4871,1,North European ,x
4872,1,Baltic Eastern European Northwestern European Balkan Ashkenazi middle eastern,x
4873,1,R1b1b2a1a2f*,x
4874,1,GermanFrench English Irish,x
4875,1,West African,x
4876,1,vietnamese,x
4877,1,Irish where people are british,x
4878,1,Algerian,x
4879,1,Scottish English Ashkenazi,x
4880,1,Northern European + a quarter Jewish,x
4881,1,British Isles Scandinavia The Balkans and Asia Minor,x
4882,1,Irish english slavic,x
4883,1,Southern european (mostly iberian) Native American,x
4884,1,Southern European (mostly Iberian),x
4885,1,Native American + European,x
4886,1,Ukrainian polish british isles,x
4887,Phenotype,Physical,x
4888,6339,-,x
4889,35,Night owl,x
4890,17,Night owlearly bird,x
4891,12,Early bird,x
4892,1,Night OwlEarly Bird,x
4893,1,early bird,x
4894,Phenotype,restless leg syndrome,restless leg syndrome
4895,6322,-,-
4896,43,Yes,Yes
4897,23,No,No
4898,11,Possibly,U
4899,3,Sometimes not constant. seratonin agonists can cause this in me,Yes
4900,1,YES,Yes
4901,1,no,No
4902,1,Sometimes not constant. Seratonin agonists can cause this in me,U
4903,Phenotype,The Dress: Perception of colour,x
4904,6266,-,x
4905,64,White and gold,x
4906,46,Blue and black,x
4907,14,Blue and dark gold,x
4908,7,Light blue and dark gold,x
4909,5,Varies by computer.,x
4910,1,white and gold,x
4911,1,...........,x
4912,1,Other,x
4913,Phenotype,white skin,x
4914,5821,-,x
4915,167,Caucasian,x
4916,56,White,x
4917,52,Pale white,x
4918,52,White skin(can tan),x
4919,38,Pale,x
4920,19,Olive skin,x
4921,15,White skin,x
4922,14,Light tan,x
4923,12,white,x
4924,12,Tan skin,x
4925,11,Light olive,x
4926,10,Pinkish white skin which tans moderately,x
4927,9,White skin which easily tans,x
4928,8,Brown,x
4929,8,Slightly yellow/olive complexion,x
4930,8,True,x
4931,7,Very fair burn easily in sun,x
4932,6,White pinkish with lots of freckles a bit darker in summer,x
4933,6,caucasian,x
4934,5,Pale cannot tan,x
4935,5,Pale White,x
4936,4,I am the color of a carmel latte,x
4937,3,light tan,x
4938,3,Fair skin with lots of freckles,x
4939,3,Pale olive,x
4940,3,Pale white: ruddy florid,x
4941,3,Very pale neutral skin with olive undertones,x
4942,3,pale,x
4943,3,African american (light skin),x
4944,2,White Skin,x
4945,2,Glow in the dark white,x
4946,2,Pale in winter tan in brazil,x
4947,2,Type 1,x
4948,2,No,x
4949,2,Fitzpatrick's type ii,x
4950,2,Brown skin - rs1426654 ag /  rs16891982 cc / rs1042602 cc / rs1800414 tt / rs2031526 - n/a / rs885479 gg,x
4951,2,Yellow,x
4952,2,very fair burn easily in sun,x
4953,2,tan skin,x
4954,1,Pale cool translucent,x
4955,1,Snow White,x
4956,1,Pale Olive,x
4957,1,Yes and somewhat yellowish,x
4958,1,Light Multi-racial,x
4959,1,Skin moles,x
4960,1,African American (light skin),x
4961,1,pale cannot tan,x
4962,1,Blonde 00 caucasian,x
4963,1,glow in the dark white,x
4964,1,Fitzpatrick Type I (palest Olive with freckles),x
4965,1,pale white: ruddy florid,x
4966,1,Type 3+,x
4967,1,Light Olive,x
4968,1,pinkish white skin which tans moderately,x
4969,1,brown skin - rs1426654 AG /  rs16891982 CC / rs1042602 CC / rs1800414 TT / rs2031526 - n/a / rs885479 GG,x
4970,1,brown,x
4971,1,Fitzpatrick's type II,x
4972,1,Snow white,x
4973,Phenotype,Cancer Marker RNASEL Gene,x
4974,6380,-,x
4975,13,Unknown,x
4976,3,Not genotyped,x
4977,2,unknown,x
4978,2,This is a genotype not a phenotype,x
4979,1,AG,x
4980,1,Ag,x
4981,1,rs3738579(CT) reduced risk,x
4982,1,rs3738579 ,x
4983,1,Rs3738579 (AA),x
4984,Phenotype,Digit ratio,x
4985,6367,-,x
4986,9,0.965,x
4987,7,0.968,x
4988,3,0.971,x
4989,3,0.9555,x
4990,2,i guess we are all suppose to be scientis or dr`s,x
4991,2,0.914,x
4992,2,0.969,x
4993,2,1 (Same Length),x
4994,1,0.942,x
4995,1,I guess we are all suppose to be scientis or dr`s,x
4996,1,1 (same length),x
4997,1,0.9627,x
4998,1,0.86,x
4999,1,0.93,x
5000,1,0.88,x
5001,1,0.939,x
5002,Phenotype,Hindfoot Valgus (Marfan Syndrome),x
5003,6362,-,x
5004,38,No,x
5005,4,Don't understand the question,x
5006,1,Yes,x
5007,Phenotype,Hair color,x
5008,6212,-,x
5009,60,Dark brown,x
5010,21,Dark blonde,x
5011,15,Medium golden brown,x
5012,11,Very dark brown,x
5013,10,Blonde,x
5014,9,Black ,x
5015,8,Dark blonde strawberry,x
5016,7,Toe head to dark reddish brown,x
5017,6,Copper/red,x
5018,5,Brownredblond,x
5019,5,Grey and brown,x
5020,4,Auburn,x
5021,4,Blondish reddish brown,x
5022,4,Black (very slight tint of red),x
5023,4,Darkest brown to black ,x
5024,2,Brown going to white in early 40s,x
5025,2,Dark blonde ,x
5026,2,brown going to white in early 40s,x
5027,2,Brown,x
5028,2,strawberry blonde,x
5029,1,Medium Golden Brown,x
5030,1,Copper/Red,x
5031,1,Dirty Blond Dark Red Beard,x
5032,1,Grey and Brown,x
5033,1,brownredblond,x
5034,1,Towhead to light ashy brown by 20s,x
5035,1,blondish reddish brown,x
5036,1,Black,x
5037,1,dark blonde strawberry,x
5038,1,Grey head strawberry blonde facial and body,x
5039,Phenotype,Chronotype - Morningness-eveningness questionnaire (MEQ),x
5040,6301,-,x
5041,25,Morning person,x
5042,24,Night owl w/ circadian disorder,x
5043,9,Mild night owl,x
5044,6,Im the same all the time,x
5045,5,48,x
5046,5,Late eve/night,x
5047,5,Moderate morning -64,x
5048,5,38 (moderate evening),x
5049,3,Morning Person,x
5050,2,37,x
5051,2,51,x
5052,1,27,x
5053,1,52,x
5054,1,45,x
5055,1,Evening ,x
5056,1,late eve/night,x
5057,1,Night Owl w/ circadian disorder,x
5058,1,41,x
5059,1,75,x
5060,1,25,x
5061,1,31,x
5062,1,74,x
5063,1,50,x
5064,1,Mild night owl or very early morning,x
5065,Phenotype,SAT Writing,x
5066,6291,-,x
5067,30,Tested before 2005,x
5068,29,N/a,x
5069,8,Did well - don't remember score,x
5070,7,Country with no sat,x
5071,6,800,x
5072,5,720,x
5073,5,Country with no SAT,x
5074,4,Never & have ba & above,x
5075,3,750,x
5076,3,780,x
5077,3,760,x
5078,2,700,x
5079,2,not part of SAT when I took test in August 1967 at UIUC,x
5080,1,Not part of sat in 1961,x
5081,1,Not part of SAT in 1961,x
5082,1,511,x
5083,1,did well - don't remember score,x
5084,1,nan,x
5085,1,Never & have BA & above,x
5086,1,560,x
5087,Phenotype,Thumb Sign (Marfan Syndrome),x
5088,6355,-,x
5089,39,No,x
5090,2,Yes forward,x
5091,2,Don't understnad the question,x
5092,1,yes more with left hand exceeds ulna harder to do with right (more musculature),x
5093,1,my thumb can touch the wrist bending both forward & backward. Diagnosed Ehlers-Danlos Hypermobility with Classical crossover,x
5094,1,Used to be able to easily (both hands forward) up until about mid 30's now I have too much wrist pain ,x
5095,1,Yes more with left hand exceeds ulna harder to do with right (more musculature),x
5096,1,yes forward,x
5097,1,My thumb can touch the wrist bending both forward & backward. diagnosed ehlers-danlos hypermobility with classical crossover,x
5098,1,Yes bilaterally,x
5099,Phenotype,Do you have dust-mite allergies,Do you have dust-mite allergies
5100,6280,-,-
5101,63,Yes- i have dust mite allergies,Yes
5102,29,No,No
5103,22,No- i do not have dust-mite allergies ,No
5104,8,Yes  i have dust mite allergies,Yes
5105,1,No- I do not have dust-mite allergies ,No
5106,1,Yes- I have dust mite allergies,Yes
5107,1,Yes  I have dust mite allergies,Yes
5108,Phenotype,head form,x
5109,6277,-,x
5110,24,Oval,x
5111,14,High forehead wide mid-face,x
5112,12,High forehead long oval face,x
5113,11,Normal,x
5114,10,Forehead rather large,x
5115,10,Round face,x
5116,8,Mesocephalic / mesaticephalic,x
5117,8,Squarish face medium headed,x
5118,7,Long,x
5119,6,Small head/heart shaped face,x
5120,5,Small head/ square-round face,x
5121,2,Hyperbrachycephal,x
5122,1,Mri shows mishaping with more mass on left side of head. also have problems with fluid accumulation on left side of body. big problem with left ear & left eye possibly r/t fluid retention on left side,x
5123,1,high forehead long oval face,x
5124,1,Cromagnon forehead brow protrudes,x
5125,1,MRI shows mishaping with more mass on left side of head. Also have problems with fluid accumulation on left side of body. Big problem with left ear & left eye possibly r/t fluid retention on left side,x
5126,1,small head/ square-round face,x
5127,1,small head/heart shaped face,x
5128,1,mesocephalic / mesaticephalic,x
5129,1,squarish face medium headed,x
5130,1,High Forehead Wide mid-face,x
5131,1,hyperbrachycephal,x
5132,1,banana,x
5133,Phenotype,Rheumatoid Arthritis,x
5134,6268,-,x
5135,104,No,x
5136,13,Yes,x
5137,6,Rs6457617,x
5138,3,rs6457617,x
5139,3,Suspected but not officially diagnosed. multiple autoimmune snps including rs6457617(ct),x
5140,1,yes,x
5141,1,Juvenile Rheumatoid Arthritis,x
5142,1,Juvenile rheumatoid arthritis,x
5143,1,Suspected but not officially diagnosed. Multiple autoimmune snps including rs6457617(CT),x
5144,1,yes diagnosed moderate with Rs6457617 TT version,x
5145,1, Yes I have been diagnosed with rheumatoid arthritis. ,x
5146,1,No but one of my parents has it,x
5147,1, yes i have been diagnosed with rheumatoid arthritis. ,x
5148,Phenotype,Migraine frequency,Migraine frequency
5149,6046,-,-
5150,145,None,No
5151,62,1-3 attacks a month on average ,Yes
5152,31,Rarely,U
5153,28,6-11,Yes
5154,27,1-2,Yes
5155,16,Used to be very frequent diminished as i got older,U
5156,14,3-5,Yes
5157,6,Daily without prophylactic medications now 1-2 weekly,Yes
5158,6,Migraines with visual disturbance/speech affected commenced at age 13 (onset puberty) since menopause have nearly disappeared. now very short minimal visual disturbance slight headache.,U
5159,5,3 or more attacks per week,Yes
5160,5,Visual migraines about 4 or so times a year,U
5161,4,none,No
5162,2,Daily,Yes
5163,2,1 to 2 per year,U
5164,1,rarely,U
5165,1,daily without prophylactic medications now 1-2 weekly,Yes
5166,1,Used to be very frequent diminished as I got older,U
5167,1,Daily even with medication or nerve block since about the age of 8,Yes
5168,1,Migraines with visual disturbance/speech affected commenced at age 13 (onset puberty) since menopause have nearly disappeared. Now very short minimal visual disturbance slight headache.,Yes
5169,1,daily,Yes
5170,Phenotype,Does cilantro taste like soap to you?,x
5171,6135,-,x
5172,201,No,x
5173,49,Yes,x
5174,7,Never tasted,x
5175,6,It used to but i like it now,x
5176,2,Not sure about soap but i dont like it,x
5177,1,it used to but I like it now,x
5178,1,not sure about soap but I dont like it,x
5179,1,Spectrum child but love love cilantro now,x
5180,1,Never until I got pregnant,x
5181,1,rs1902147231693625TT,x
5182,Phenotype,Mole (Nevus) type,x
5183,6329,-,x
5184,38,Small flat only,x
5185,31,Many sizes of moles,x
5186,2,small flat only,x
5187,2,Mole fried egg appearance,x
5188,1,Cherry (angioma) only no nevus proper,x
5189,1,unknown,x
5190,1,compound junctional,x
5191,Phenotype,Hereditary breast and ovarian cancer,x
